SMILES,5-HT1A,5-HT2A,5-HT2C,5-HT3A,5-HT4,5-HT6,5-HT7
COc1cc(OCCNCCCF)ncc1[C@H]1N(CC2(F)CC2)[C@H](C)Cc2c1[nH]c1ccccc21,1.1963492211507332,3.9213627225526038,13.107823483864816,68.07502121236027,3.340136787275825,52.92349882776384,4.664445853286157
O=C1NCc2ccc(OCCCN3CCN(CC3)c3cccc4ccccc34)cc12,1.1964079009450603,16.777528616582355,20.46186208900247,87.26368901918505,97.73984687913831,138.15900296294592,4.120568082336658
Cn1ncc2c1CCCN(CCN1CCN(CC1)c1nsc3ccccc13)C2=O,1.2013630799906205,0.7385897407064325,3.983925603072486,4.150506707008914,2.0322914555480494,3.4098477655545745,1.2805569715794003
Cc1ccc2c(cccc2n1)N1CCN(CCc2cccc(c2)N2CCOC2=O)CC1,1.2016519858769492,9.972698179949687,77.61972338831141,228.8884662414735,32.059396184858294,176.11764896671588,5.049646287847924
Fc1cc(CCN2CCN(CC2)c2cccc3sccc23)cc2NC(=O)COc12,1.2041264815196484,1.2696350537199514,7.939869310054552,19.730625908754963,2.472470604349568,10.509989278341239,1.855893744704676
Brc1cc2CCN(CCN3CCN(CC3)c3nsc4ccccc34)C(=O)c2cn1,1.2070303947916894,1.0952453076402888,2.9697046694646874,3.950636855210053,2.448451065694345,3.8246259788382573,1.3994697159238825
COc1ccccc1N1CCN(CCN(C(=O)c2cccc(I)c2)c2ccccn2)CC1,1.210239380748554,137.57848411587844,214.37111527596684,707.3496948839457,268.6111999165029,903.5911241460399,51.83223870355974
C[C@@H]1Cc2c([nH]c3ccccc23)[C@H](N1CC1(F)CC1)c1ccc(OCCNCCCF)nc1,1.2214973324190086,3.8786449739616433,9.65692068709589,45.31928203320594,2.983507022217738,37.27840023809021,6.953012976456369
COc1ccccc1N1CCN(CCN(C(=O)C23CCC(I)(CC2)C3)c2ccccn2)CC1,1.22441055788626,106.26752505943885,65.2396014305367,396.24479600270894,136.44018297962603,472.7360488323626,52.224184369963254
CCc1cc2CCN(CCN3CCN(CC3)c3nsc4ccccc34)C(=O)c2cn1,1.2276400136994778,1.2435304671656906,6.14986730379094,13.991610456315813,5.944291860636293,10.774482887831764,1.6385276396307982
COc1ccccc1N1CCN(CCN(C(=O)C23C4C5C2C2C3C4C52I)c2ccccn2)CC1,1.2278867036944923,421.1613778443973,178.90387335226555,926.5998859913506,575.2570450779092,975.5530664215405,148.10969464286447
Fc1ccc2c(cccc2c1)N1CCN(CCCOc2ccc3CNC(=O)c3c2)CC1,1.2314740166247389,5.867265171455125,8.961601012281575,33.20069170552985,31.674439437820055,53.589090391909934,3.29389169196593
C(CC1=CCCc2ccccc12)N1CCN(CC1)c1cccc2OCCOc12,1.2329053769383431,12.802721788261081,41.90949488928046,285.3856794528504,20.857426240697087,135.5194524926767,2.5449295755958636
